outcome,n,events,prevalence,pr_auc,ci_low,ci_high,roc_auc,brier_score,bootstrap_resamples
has_diabetes,253680,35346,0.13933301797540207,0.41113666794886894,0.4054882269870093,0.4159603012182222,0.8231682225006194,0.09831983906973589,300
has_stroke,253680,10292,0.04057079785556607,0.15293399399146093,0.14744660358550707,0.158335056064239,0.8127253640426579,0.036419678882295976,300
has_cardiac,253680,23893,0.09418558814254178,0.34712215590076084,0.34074999283258023,0.3532809238357657,0.8405762654325217,0.07151626321201765,300
