model,pr_auc,ci_low,ci_high,roc_auc,lift
prevalence,0.08933161041137129,,,0.5,1.0
rule_baseline,0.1116334954695663,0.10752064664857056,0.11591071517686263,0.5479061733497663,1.2496527819827161
logistic,0.1643162092273271,0.15745676572739525,0.17160796502363437,0.6464719587699044,1.839396026453037
linear_svm,0.16216082755791164,0.15567786147554288,0.1694591791372686,0.6476739533090048,1.8152681543650948
gradient_boosting,0.18048671752300896,0.17212980503716627,0.18894964392352379,0.6572038515717111,2.0204126701832554
