scenario,n,events,prevalence,pr_auc,ci_low,ci_high,roc_auc,lift
safe_model,70423,6291,0.08933161041137129,0.18048671752300896,0.17212980503716627,0.18894964392352379,0.6572038515717111,2.0204126701832554
with_future_count,70423,6291,0.08933161041137129,0.3009354679997739,0.29011045690037984,0.31169244381333827,0.8089031791279556,3.368745583046904
