model,attribute,group,threshold,n,events,non_events,tp,fp,tn,fn,flagged_n,flagged_rate,small_event_count,small_non_event_count,tpr,tpr_ci_low,tpr_ci_high,fpr,fpr_ci_low,fpr_ci_high
gradient_boosting,race,Caucasian,0.05,52657,4814,47843,4404,38875,8968,410,43279,0.821904020358167,False,False,0.9148317407561279,0.9066121340590484,0.9223898233813791,0.8125535606044771,0.8090314538675407,0.8160254796343167
gradient_boosting,race,Caucasian,0.1,52657,4814,47843,2403,13231,34612,2411,15634,0.29690259604610975,False,False,0.4991690901537183,0.4850511653610651,0.5132883399820687,0.27655038354618233,0.27256042164986616,0.2805762254493678
gradient_boosting,race,Caucasian,0.15,52657,4814,47843,1163,4101,43742,3651,5264,0.09996771559336841,False,False,0.241587037806398,0.2297045194743193,0.2538816422403068,0.08571786886273854,0.0832425069827217,0.08825975332599767
gradient_boosting,race,Caucasian,0.2,52657,4814,47843,691,1780,46063,4123,2471,0.04692633458039767,False,False,0.14353967594515996,0.1339192189489326,0.15372857325548728,0.03720502476851368,0.03554591725683111,0.038938444723215324
gradient_boosting,race,Caucasian,0.25,52657,4814,47843,439,860,46983,4375,1299,0.024669084832026133,False,False,0.0911923556294142,0.08338278337764954,0.09965384544420264,0.017975461405012227,0.01682305114714903,0.019205271857292452
gradient_boosting,race,Hispanic,0.05,1506,122,1384,113,1004,380,9,1117,0.7416998671978752,False,False,0.9262295081967213,0.865730505922926,0.960706194466768,0.7254335260115607,0.7013211078330815,0.7482979722383832
gradient_boosting,race,Hispanic,0.1,1506,122,1384,62,301,1083,60,363,0.2410358565737052,False,False,0.5081967213114754,0.4205991755478547,0.5952938379211778,0.217485549132948,0.1965494605401795,0.23998560257538884
gradient_boosting,race,Hispanic,0.15,1506,122,1384,31,108,1276,91,139,0.09229747675962816,False,False,0.2540983606557377,0.18517152014351645,0.33803807578550626,0.07803468208092486,0.06504270541925543,0.09336260624184918
gradient_boosting,race,Hispanic,0.2,1506,122,1384,21,43,1341,101,64,0.04249667994687915,False,False,0.1721311475409836,0.11542980868980693,0.24884965254889005,0.03106936416184971,0.02314719994818553,0.04158747003136392
gradient_boosting,race,Hispanic,0.25,1506,122,1384,16,25,1359,106,41,0.027224435590969456,False,False,0.13114754098360656,0.08236410691992374,0.2024502869736104,0.018063583815028903,0.012264868968591771,0.026530238699142433
gradient_boosting,race,Missing,0.05,1917,141,1776,125,1374,402,16,1499,0.7819509650495566,False,False,0.8865248226950354,0.8236128062225586,0.928934157108818,0.7736486486486487,0.7536079578854964,0.7925080993525668
gradient_boosting,race,Missing,0.1,1917,141,1776,64,409,1367,77,473,0.2467396974439228,False,False,0.45390070921985815,0.3740333550932513,0.5362133373534653,0.2302927927927928,0.21130662716914228,0.25044318472996835
gradient_boosting,race,Missing,0.15,1917,141,1776,25,116,1660,116,141,0.07355242566510173,False,False,0.1773049645390071,0.12307863638179709,0.24864821074521878,0.06531531531531531,0.05473639883379305,0.07777060489504492
