comparison,mean_diff,ci_low,ci_high,excludes_zero
gradient_boosting - logistic,0.016139164492139632,0.011543691466970828,0.020825551285173136,True
linear_svm - logistic,-0.0021561316243156278,-0.0030696711269149967,-0.0013078291030481182,True
gradient_boosting - rule_baseline,0.06890945377466832,0.06228536889462084,0.07555925278872967,True
logistic - rule_baseline,0.05277028928252869,0.047889592821344744,0.05812081297952332,True
