model,bin,mean_predicted_probability,observed_event_rate,n,event_rate,brier_score,calibration_intercept,calibration_slope
logistic,1,0.04179267719327334,0.03847792134033792,70423,0.08933161041137129,0.07904398091136274,-0.08815435195555801,0.9601284008724913
logistic,2,0.05233291856745549,0.05381993751775064,70423,0.08933161041137129,0.07904398091136274,-0.08815435195555801,0.9601284008724913
logistic,3,0.058695908105346126,0.05282590173246237,70423,0.08933161041137129,0.07904398091136274,-0.08815435195555801,0.9601284008724913
logistic,4,0.06445591689891403,0.06787844362397047,70423,0.08933161041137129,0.07904398091136274,-0.08815435195555801,0.9601284008724913
logistic,5,0.0703148522225961,0.07354820389038762,70423,0.08933161041137129,0.07904398091136274,-0.08815435195555801,0.9601284008724913
logistic,6,0.07717943713533378,0.08321499573984663,70423,0.08933161041137129,0.07904398091136274,-0.08815435195555801,0.9601284008724913
logistic,7,0.08697385151844549,0.08562908264697529,70423,0.08933161041137129,0.07904398091136274,-0.08815435195555801,0.9601284008724913
logistic,8,0.10283104072601436,0.10423175234308435,70423,0.08933161041137129,0.07904398091136274,-0.08815435195555801,0.9601284008724913
logistic,9,0.1270847310237538,0.12950866231184321,70423,0.08933161041137129,0.07904398091136274,-0.08815435195555801,0.9601284008724913
logistic,10,0.21160570154940592,0.2041743575181031,70423,0.08933161041137129,0.07904398091136274,-0.08815435195555801,0.9601284008724913
gradient_boosting,1,0.033331041123869296,0.03776799659236121,70423,0.08933161041137129,0.07836992394254502,-0.06773400255394975,0.9679657356339901
gradient_boosting,2,0.04620649482873955,0.04785572280602102,70423,0.08933161041137129,0.07836992394254502,-0.06773400255394975,0.9679657356339901
gradient_boosting,3,0.054739324811362504,0.05495597841522295,70423,0.08933161041137129,0.07836992394254502,-0.06773400255394975,0.9679657356339901
gradient_boosting,4,0.06256330496949233,0.060210167566032376,70423,0.08933161041137129,0.07836992394254502,-0.06773400255394975,0.9679657356339901
gradient_boosting,5,0.07092906571591458,0.07298026409200625,70423,0.08933161041137129,0.07836992394254502,-0.06773400255394975,0.9679657356339901
gradient_boosting,6,0.08012452610503608,0.08435103663731894,70423,0.08933161041137129,0.07836992394254502,-0.06773400255394975,0.9679657356339901
gradient_boosting,7,0.09100778301549851,0.08662311843226356,70423,0.08933161041137129,0.07836992394254502,-0.06773400255394975,0.9679657356339901
gradient_boosting,8,0.10571415465271158,0.10905992615734167,70423,0.08933161041137129,0.07836992394254502,-0.06773400255394975,0.9679657356339901
gradient_boosting,9,0.1291099778199037,0.12283442203919341,70423,0.08933161041137129,0.07836992394254502,-0.06773400255394975,0.9679657356339901
gradient_boosting,10,0.21764351897461076,0.21666903308249325,70423,0.08933161041137129,0.07836992394254502,-0.06773400255394975,0.9679657356339901
