outcome,term,odds_ratio,ci_low,ci_high,p_value,p_adj_bh
has_diabetes,const,0.0003148546270014048,0.0001969117609561305,0.0005034409100951545,1.5029483974217129e-248,1.8035380769060557e-247
has_diabetes,sex,1.3378738421933956,1.3032183878367198,1.373450861598475,8.968395048678124e-105,5.919140732127562e-104
has_diabetes,bmi,1.0589851824874992,1.057093598497066,1.0608801513153754,0.0,0.0
has_diabetes,high_bp,2.0825499105485807,2.0234022197340464,2.14342659488431,0.0,0.0
has_diabetes,high_chol,1.743619138938238,1.6979002319918213,1.79056910670495,0.0,0.0
has_diabetes,chol_checked,3.476600947464695,3.039651759535239,3.9763614729867856,7.013044818022195e-74,3.857174649912207e-73
has_diabetes,smoker,0.9730271234441511,0.9480677329595849,0.9986436095683046,0.039175608555358926,0.05276714621742223
has_diabetes,phys_activity,0.9451967228037016,0.9188915411008036,0.9722549450488963,9.084219035447328e-05,0.0001427520134141723
has_diabetes,eats_fruit,0.9776135169036732,0.9517057953116366,1.0042265090124987,0.09849591228027398,0.12622777107763267
has_diabetes,eats_veg,0.971130169249262,0.941343238480532,1.0018596480794761,0.06531830836214648,0.08622016703803335
has_diabetes,heavy_alcohol,0.45531613817107414,0.4221801744992347,0.4910528684226419,1.4185695751002771e-92,8.511417450601663e-92
has_diabetes,mental_health_days,0.9971239253452864,0.9954651692678772,0.9987854454287193,0.0006973564377279425,0.001058058043449292
has_diabetes,phys_health_days,0.9966661979360453,0.9950985075160087,0.998236358114839,3.213691107747278e-05,5.173258856373667e-05
has_diabetes,difficulty_walking,1.1794460865739445,1.1411317028732948,1.2190469054815594,1.1801764554246717e-22,3.2454852524178472e-22
has_diabetes,has_coverage,1.081964772091355,1.0131448283996087,1.1554594518296903,0.018802144735403026,0.026125085316559993
has_diabetes,skipped_care_cost,1.0150424947627699,0.9703621123897191,1.0617801880546132,0.5156561854881684,0.5800870133176826
has_diabetes,age_band_2,1.1451351035728274,0.8600602546900585,1.524700622175964,0.35348758751323395,0.41661037099774
has_diabetes,age_band_3,1.5748754338839552,1.2185145953837484,2.0354558260092674,0.0005207406466648044,0.0008086795924676963
has_diabetes,age_band_4,2.396363978350038,1.8782676727102643,3.057370576179559,2.041845274023556e-12,4.2113058776735845e-12
has_diabetes,age_band_5,3.0679960955446015,2.4175322250207634,3.8934744880995646,2.941972967465865e-20,7.327177956707438e-20
has_diabetes,age_band_6,3.7463726723841013,2.962059993768351,4.738360542971511,3.051231840202249e-28,9.366572160620858e-28
has_diabetes,age_band_7,4.7087484370646315,3.731653156339178,5.941686141407115,5.752859005311948e-39,1.9983615492136238e-38
has_diabetes,age_band_8,5.153994364758719,4.0875665086995046,6.498648488148048,1.0523648197942688e-43,3.8586710059123195e-43
has_diabetes,age_band_9,6.42756258566478,5.100005914061761,8.100688800914476,5.64076835618327e-56,2.4018755581167473e-55
has_diabetes,age_band_10,7.643056582982002,6.064210441254777,9.632962855849922,1.670856477727107e-66,8.482809809999159e-66
has_diabetes,age_band_11,8.097362507148437,6.41996097932741,10.21303397065856,8.53142913058001e-70,4.504594580946245e-69
has_diabetes,age_band_12,7.474201866715008,5.918295010295323,9.439153243835761,5.289050130502379e-64,2.5857578415789407e-63
has_diabetes,age_band_13,6.296479950581066,4.984322365027537,7.954072161592687,9.999010595335708e-54,4.1245918705759794e-53
has_diabetes,gen_health_2,2.0693945156328875,1.9377959342948712,2.2099301508183617,2.341632465938635e-104,1.471883264304285e-103
has_diabetes,gen_health_3,4.21849625205115,3.956259056033794,4.498115612886598,0.0,0.0
has_diabetes,gen_health_4,6.637028477542311,6.192697218018688,7.1132408804900615,0.0,0.0
has_diabetes,gen_health_5,8.177538075695537,7.530358691490125,8.880337805823359,0.0,0.0
has_diabetes,education_2,0.9633840548646797,0.6579161436637424,1.4106795312836462,0.8479704684050726,0.8813551325155086
has_diabetes,education_3,0.8606285094874236,0.5899521616574237,1.2554940544020703,0.4359665811615818,0.5004138148985113
has_diabetes,education_4,0.8103785136874521,0.5570441600686599,1.1789250880313313,0.27162590226450845,0.3289414596230744
has_diabetes,education_5,0.8480658749325964,0.5828586584218269,1.233945344781477,0.3890773840892764,0.4505106552612674
has_diabetes,education_6,0.7730973294343518,0.531209804591355,1.125128857962825,0.17889306944758498,0.22277250157623793
has_diabetes,income_band_2,0.98686014605406,0.9206663720522775,1.0578130986786392,0.7088620358884032,0.7733040391509853
has_diabetes,income_band_3,0.956211554288782,0.8942052818906312,1.0225174857188999,0.19053841306571484,0.23288028263587368
has_diabetes,income_band_4,0.9345681522722863,0.875086743046026,0.9980926327388062,0.043709535725488094,0.05827938096731746
has_diabetes,income_band_5,0.8575426969807037,0.8036043036774974,0.9151014669528968,3.5408901872119733e-06,5.8424688088997556e-06
has_diabetes,income_band_6,0.7879828636456897,0.7390967295724624,0.8401024771932585,3.0597234656312327e-13,6.410849166084487e-13
has_diabetes,income_band_7,0.771578463268666,0.7231943887781839,0.823199590895381,4.220574732207677e-15,9.13304696149858e-15
has_diabetes,income_band_8,0.6692360983674827,0.6275945666462248,0.7136405876671638,1.6209291424239494e-34,5.349066169999033e-34
has_stroke,const,0.002257424480663341,0.001063675611673168,0.004790901690302151,1.000572066634217e-56,4.402517093190555e-56
has_stroke,sex,1.1980834821838997,1.1474099765790589,1.2509949011960646,2.47906751891416e-16,5.453948541611152e-16
has_stroke,bmi,0.9838809522861612,0.9806420711955303,0.9871305308076159,4.491653571138455e-22,1.185796542780552e-21
