distribution,n_params,loglik,aic,bic,ks_stat,delta_aic
weibull,3,32196.11376880468,-64386.22753760936,-64358.74015828412,0.3703581364958825,0.0
lognormal,3,31140.049608409023,-62274.099216818046,-62246.611837492805,0.4824025029943419,2112.1283207913148
gamma,3,-16655.909681223617,33317.81936244723,33345.306741772474,0.32108607972482606,97704.0469000566
normal,2,-175894.0920797339,351792.1841594678,351810.50907901797,0.17379248355683036,416178.41169707716
