model,n,pr_auc,ci_low,ci_high,roc_auc
keras_mlp,70423,0.17058007323170016,0.16322386979505232,0.17870054486438905,0.6538027907351276
gradient_boosting,70423,0.18048671752300896,0.17212980503716627,0.18894964392352379,0.6572038515717111
