source_feature,mean_abs_shap,importance_pct,rank
discharge_disposition_id,0.027282397412005287,26.22165063847419,1
number_inpatient,0.01209054065247141,11.620457257904622,2
diag_1_group,0.0077947513566150265,7.491689377598175,3
n_active_diabetes_meds,0.005249885544385988,5.045768616224664,4
age_midpoint,0.005121632535453091,4.922502117947952,5
time_in_hospital,0.004435745690376708,4.263282733466583,6
num_lab_procedures,0.004361607886492643,4.192027426860126,7
anomaly_score,0.003694448781916263,3.55080764341173,8
number_diagnoses,0.003439093035760451,3.3053801957022344,9
procedures_per_day,0.0030117639864083393,2.8946658119710005,10
num_medications,0.002861742205980531,2.7504769177498183,11
labs_per_day,0.002726520773797974,2.620512930348738,12
meds_per_day,0.0026048544671213067,2.5035770416153964,13
admission_source_id,0.0025878751059786203,2.487257842491346,14
num_procedures,0.002247443665433839,2.1600624657247254,15
any_med_adjusted,0.0021180819724221653,2.0357303892972696,16
number_emergency,0.0019446311529733513,1.8690233832427905,17
any_number_inpatient,0.001942321486143389,1.866803516865509,18
admission_type_id,0.0018383233181843031,1.7668488249781853,19
high_prior_utilizer,0.0012899048381286018,1.239752999397414,20
number_outpatient,0.0011840181963076511,1.1379832580077351,21
a1c_tested,0.0011056333114894713,1.0626459980888212,22
gender,0.0010741121041920485,1.0323503436060433,23
max_glu_serum,0.0006602347284011838,0.6345646288366726,24
a1c_result,0.00055908166139169,0.5373444196271273,25
is_hospice,0.0003205206653955619,0.30805873778216336,26
any_number_emergency,0.000250895412068058,0.24114053258199653,27
any_number_outpatient,0.0001256816679315905,0.12079513168856308,28
a1c_tested_and_changed,0.00012156530966125949,0.1168388185084055,29
