rule,threshold,flagged_n,flagged_pct,tp,fp,tn,fn,sensitivity_recall,specificity,ppv_precision,npv,f1,balanced_accuracy,mcc,accuracy,event_capture_pct,target_flagged_pct
probability,0.05,56911,0.8081308663362822,5715,51196,12936,576,0.9084406294706724,0.20170897523857045,0.1004199539632057,0.9573712255772646,0.18084870731938862,0.5550748023546215,0.0797851839758717,0.26484245203981654,90.84406294706724,
probability,0.1,19947,0.2832455305794982,3048,16899,47233,3243,0.48450166905102526,0.7364966007609306,0.1528049330726425,0.9357516443458277,0.2323347816144523,0.610499134905978,0.13989585551384445,0.7139854876957812,48.45016690510253,
probability,0.15,6763,0.09603396617582324,1475,5288,58844,4816,0.2344619297408997,0.9175450633069294,0.2180984770072453,0.9243480992774112,0.22598437260609774,0.5760034965239146,0.14714916150283988,0.8565241469406302,23.44619297408997,
probability,0.2,3155,0.04480070431535152,861,2294,61838,5430,0.1368621840724845,0.9642300255722572,0.2729001584786054,0.9192781114348576,0.18229938598348508,0.5505461048223709,0.13938337760025604,0.8903199238885023,13.68621840724845,
probability,0.25,1673,0.02375644320747483,548,1125,63007,5743,0.08710856779526308,0.9824580552610241,0.3275552898983861,0.9164654545454546,0.13761928679055752,0.5347833115281436,0.13029082525887714,0.9024750436647118,8.710856779526308,
top_5pct_risk,0.19154000282287598,3522,0.05001206992033853,925,2597,61535,5366,0.147035447464632,0.9595053951225597,0.2626348665530948,0.9197919313612651,0.1885254254560277,0.5532704212935958,0.13941271376843384,0.8869261462874345,14.703544746463201,5.0
top_10pct_risk,0.1479027271270752,7043,0.10000993993439643,1526,5517,58615,4765,0.24256874900651726,0.9139743030000623,0.21666903308249325,0.9248185547491322,0.2288885555722214,0.5782715260032898,0.1488250611295411,0.8539965636226801,24.256874900651724,10.0
top_20pct_risk,0.11506421118974686,14085,0.20000567996251226,2391,11694,52438,3900,0.380066762041011,0.8176573317532589,0.16975505857294995,0.9307749653874827,0.23468786808009423,0.598862046897135,0.14098655214839742,0.7785666614600344,38.0066762041011,20.0
